Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢)
6/6/2012,TOTAL,27,19.5,19.5,19.5,19.47,19.48,-0.02,,19.48,570,
5/6/2012,TOTAL,27,19.5,19.96,19.96,19.5,19.5,-0.46,,19.5,200,
4/6/2012,TOTAL,27,19.83,19.96,19.96,19.96,19.96,0.0,,20.0,0,
1/6/2012,TOTAL,27,19.83,20.0,20.0,19.8,19.96,-0.04,,19.98,500,
31/05/2012,TOTAL,27,19.83,20.0,20.0,20,20.0,0.0,19.5,20.0,20,
30/05/2012,TOTAL,27,19.83,21.8,21.8,21.8,20.0,-1.8,,20.0,330,
29/05/2012,TOTAL,27,19.83,22.0,22.0,21.8,21.8,-0.2,,,140,
28/05/2012,TOTAL,27,19.83,22.1,22.1,22,22.0,-0.1,,22.0,330,
24/05/2012,TOTAL,27,19.83,22.1,22.1,22.1,22.1,0.0,,22.1,10,
23/05/2012,TOTAL,27,19.83,22.12,22.12,22.12,22.1,-0.02,,22.1,50,
22/05/2012,TOTAL,27,19.83,22.45,22.45,22,22.12,-0.33,,22.45,110,
21/05/2012,TOTAL,27,19.83,22.45,22.45,22.45,22.45,0.0,,,"1,210.00",
18/05/2012,TOTAL,27,19.83,22.49,22.49,22.49,22.45,-0.04,,22.45,"3,000.00",
17/05/2012,TOTAL,27,19.83,23.16,23.16,22,22.49,-0.67,,22.5,"3,230.00",
16/05/2012,TOTAL,27,19.83,24.0,24.0,22.5,23.16,-0.84,,23.5,"2,070.00",
15/05/2012,TOTAL,27,19.83,24.0,24.0,24,24.0,0.0,23.0,24.0,0,
14/05/2012,TOTAL,27,19.83,25.0,25.0,25,24.0,-1.0,,24.99,150,
11/5/2012,TOTAL,27,19.83,26.05,26.05,25,25.0,-1.05,,25.0,380,
10/5/2012,TOTAL,27,19.83,26.1,26.1,26,26.05,-0.05,,26.0,100,
9/5/2012,TOTAL,27,19.83,26.1,26.1,26.1,26.1,0.0,,26.1,70,
8/5/2012,TOTAL,27,19.83,26.14,26.14,26.1,26.1,-0.04,,26.1,70,
7/5/2012,TOTAL,27,19.83,26.14,26.14,26.14,26.14,0.0,,26.0,0,
4/5/2012,TOTAL,27,19.83,26.14,26.14,26.14,26.14,0.0,,26.13,0,
3/5/2012,TOTAL,27,19.83,26.14,26.14,26.14,26.14,0.0,,26.14,,
2/5/2012,TOTAL,27,19.83,26.14,26.14,26.14,26.14,0.0,,26.14,0,
30/04/2012,TOTAL,27,19.83,26.14,26.14,26.14,26.14,0.0,,27.0,0,
27/04/2012,TOTAL,27,19.83,26.14,26.14,26.14,26.14,0.0,,26.14,10,
26/04/2012,TOTAL,27,19.83,27.0,27.0,26.14,26.14,-0.86,,27.0,450,
25/04/2012,TOTAL,27,19.83,26.97,26.97,27,27.0,0.03,,27.0,100,
24/04/2012,TOTAL,27,19.83,26.97,26.97,26.97,26.97,0.0,,,0,
23/04/2012,TOTAL,27,19.83,26.97,26.97,26.97,26.97,0.0,,,0,
20/04/2012,TOTAL,27,19.83,27.0,27.0,27,26.97,-0.03,,,"1,900.00",
19/04/2012,TOTAL,27,19.83,27.0,27.0,27,27.0,0.0,,27.0,0,
18/04/2012,TOTAL,27,19.83,27.0,27.0,27,27.0,0.0,,27.0,0,
17/04/2012,TOTAL,27,19.83,27.0,27.0,27,27.0,0.0,,27.0,0,
16/04/2012,TOTAL,27,19.83,27.0,27.0,27,27.0,0.0,,27.0,0,
13/04/2012,TOTAL,27,19.83,27.0,27.0,27,27.0,0.0,,31.0,0,
12/4/2012,TOTAL,27,19.83,27.0,27.0,27,27.0,0.0,,,0,
11/4/2012,TOTAL,27,19.83,27.0,27.0,27,27.0,0.0,,28.0,50,
10/4/2012,TOTAL,27,19.83,27.0,27.0,27,27.0,0.0,,,30,
5/4/2012,TOTAL,27,19.83,27.0,27.0,27,27.0,0.0,27.0,,500,
4/4/2012,TOTAL,27,19.83,26.5,26.5,27,27.0,0.5,27.0,,430,
3/4/2012,TOTAL,26.43,19.83,26.5,26.5,26.5,26.5,0.0,26.51,,30,
2/4/2012,TOTAL,26.43,19.83,26.5,26.5,26.5,26.5,0.0,26.51,,0,
30/03/2012,TOTAL,26.43,19.83,26.43,26.43,26.5,26.5,0.07,26.5,,100,
29/03/2012,TOTAL,26.43,19.83,26.2,26.2,26.5,26.43,0.23,26.5,,350,
28/03/2012,TOTAL,26.2,19.83,26.2,26.2,26.2,26.2,0.0,26.2,,0,
27/03/2012,TOTAL,26.2,19.83,26.2,26.2,26.2,26.2,0.0,26.22,,0,
26/03/2012,TOTAL,26.2,19.83,26.16,26.16,26.21,26.2,0.04,26.21,,"1,010.00",
23/03/2012,TOTAL,26.16,19.83,26.15,26.15,26.16,26.16,0.01,26.15,,500,
22/03/2012,TOTAL,26.11,19.83,26.13,26.13,26.15,26.15,0.02,26.15,,320,
21/03/2012,TOTAL,26.11,19.83,26.13,26.13,26.13,26.13,0.0,26.13,,100,
20/03/2012,TOTAL,26.11,19.83,26.11,26.11,26.13,26.13,0.02,26.13,,70,
19/03/2012,TOTAL,26.11,19.83,26.1,26.1,26.11,26.11,0.01,26.12,26.2,250,
16/03/2012,TOTAL,26.1,19.83,26.1,26.1,26.1,26.1,0.0,,26.1,370,
15/03/2012,TOTAL,26.1,19.83,26.1,26.1,26.1,26.1,0.0,,26.1,"1,160.00",
14/03/2012,TOTAL,26.1,19.83,26.1,26.1,26.1,26.1,0.0,,26.1,230,
13/03/2012,TOTAL,26.1,19.83,26.1,26.1,26.1,26.1,0.0,,26.1,20,
12/3/2012,TOTAL,26.1,19.83,26.1,26.1,26.1,26.1,0.0,26.1,,0,
9/3/2012,TOTAL,26.1,19.83,26.1,26.1,26.1,26.1,0.0,26.1,,"1,010.00",
8/3/2012,TOTAL,26.1,19.83,26.0,26.0,26.1,26.1,0.1,26.0,26.1,80,
7/3/2012,TOTAL,25,19.83,26.0,26.0,26,26.0,0.0,26.0,26.1,70,
5/3/2012,TOTAL,25,19.83,26.0,26.0,26,26.0,0.0,26.0,,"1,310.00",
2/3/2012,TOTAL,25,19.83,25.0,25.0,26,26.0,1.0,25.05,,"1,430.00",
1/3/2012,TOTAL,25,19.83,25.0,25.0,25,25.0,0.0,25.0,25.5,120,
29/02/2012,TOTAL,25,19.83,24.5,24.5,25,25.0,0.5,24.55,,770,
28/02/2012,TOTAL,24.5,19.83,23.01,23.01,24.5,24.5,1.49,24.55,,440,
27/02/2012,TOTAL,23.01,19.83,23.01,23.01,23.01,23.01,0.0,,,30,
24/02/2012,TOTAL,23,19.83,23.0,23.0,23.01,23.01,0.01,23.01,,"1,000.00",
23/02/2012,TOTAL,23,19.83,23.0,23.0,23,23.0,0.0,23.0,,180,
